Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
6 of 13,Switchfoot,The Blues,5:18,,Nothing Is Sound,Switchfoot,38,2005
7 of 13,Switchfoot,The Setting Sun,4:25,,Nothing Is Sound,Switchfoot,35,2005
8 of 13,Switchfoot,Politicians,3:29,,Nothing Is Sound,Switchfoot,33,2005
9 of 13,Switchfoot,Golden,3:37,,Nothing Is Sound,Switchfoot,36,2005
10 of 13,Switchfoot,The Fatal Wound,2:44,,Nothing Is Sound,Switchfoot,27,2005
11 of 13,Switchfoot,We Are One Tonight,4:42,,Nothing Is Sound,Switchfoot,41,2005
12 of 13,Switchfoot,Daisy,4:19,,Nothing Is Sound,Switchfoot,40,2005
1,Switchfoot,Oh! Gravity.,2:30,,Oh! Gravity.,Switchfoot,46,2006
2,Switchfoot,American Dream,3:09,,Oh! Gravity.,Switchfoot,57,2006
3,Switchfoot,Dirty Second Hands,3:16,,Oh! Gravity.,Switchfoot,53,2006
4,Switchfoot,Awakening,4:09,,Oh! Gravity.,Switchfoot,57,2006
5,Switchfoot,Circles,4:07,,Oh! Gravity.,Switchfoot,29,2006
6,Switchfoot,Amateur Lovers,4:37,,Oh! Gravity.,Switchfoot,23,2006
7,Switchfoot,"Faust, Midas, And Myself",3:51,,Oh! Gravity.,Switchfoot,28,2006
8,Switchfoot,Head Over Heels (In This Life),3:41,,Oh! Gravity.,Switchfoot,40,2006
9,Switchfoot,Yesterdays,4:05,,Oh! Gravity.,Switchfoot,20,2006
10,Switchfoot,Burn Out Bright,3:25,,Oh! Gravity.,Switchfoot,24,2006
11,Switchfoot,4:12,4:12,,Oh! Gravity.,Switchfoot,25,2006
12,Switchfoot,Let Your Love Be Strong,3:48,,Oh! Gravity.,Switchfoot,21,2006
13,Switchfoot,American Dream,3:04,,Oh! Gravity.,Switchfoot,24,2006
1 of 2,Switchfoot,The Sound (John M. Perkins' Blues) [Acoustic],3:49,Jon Foreman & Tim Foreman,The Sound / Lucky Man - Single,Switchfoot,3,2010
2 of 2,Switchfoot,Lucky Man,3:17,,The Sound / Lucky Man - Single,Switchfoot,2,2010
1 of 1,Switchfoot,Stars (Edit),4:00,,Stars - Single,Switchfoot,13,2005
,Switchfoot,Stars [Acoustic],4:10,,Stars - Single,Switchfoot,18,
1,Switchfoot,Hello Hurricane,4:44,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,4,2017
2,Switchfoot,Love Alone is Worth the Fight,4:21,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,3,2017
3,Switchfoot,Stars,6:28,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,3,2017
4,Switchfoot,Your Love is a Song,6:45,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,3,2017
5,Switchfoot,Bull in a China Shop,5:11,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,1,2017
6,Switchfoot,If the House Burns Down Tonight,5:32,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,2,2017
7,Switchfoot,I Won't Let You Go,6:18,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,3,2017
8,Switchfoot,Live It Well,4:57,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,8,2017
9,Switchfoot,Dark Horses,4:18,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,2,2017
10,Switchfoot,Where I Belong,5:59,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,10,2017
11,Switchfoot,Meant To Live,5:28,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,2,2017
12,Switchfoot,Float,4:59,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,3,2017
13,Switchfoot,Dare You To Move,7:28,,SWITCHFOOT LIVE IN NASHVILLE 8/18,Switchfoot,1,2017
3 of 7,Switchfoot,Blinding Light (Adam Young of Owl City Remix),4:35,,Vice Re-Verses,Switchfoot,22,2012
1,Switchfoot,Afterlife,3:37,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,28,2011
2,Switchfoot,The Original,3:15,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,38,2011
3,Switchfoot,The War Inside,3:39,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,34,2011
4,Switchfoot,Restless,5:18,Jon Foreman,Vice Verses,Switchfoot,37,2011
5,Switchfoot,Blinding Light,4:17,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,37,2011
6,Switchfoot,Selling The News,3:35,Jon Foreman,Vice Verses,Switchfoot,45,2011
7,Switchfoot,Thrive,5:12,Jon Foreman,Vice Verses,Switchfoot,19,2011
8 of 24,Switchfoot,Dark Horses,3:58,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,92,2011
9,Switchfoot,Souvenirs,4:31,Jon Foreman/Tim Foreman,Vice Verses,Switchfoot,33,2011
10,Switchfoot,Rise Above It,3:33,Jon Foreman,Vice Verses,Switchfoot,40,2011
11,Switchfoot,Vice Verses,5:08,Jon Foreman,Vice Verses,Switchfoot,15,2011
12,Switchfoot,Where I Belong,6:52,Jon Foreman/Mike Elizondo/Tim Foreman,Vice Verses,Switchfoot,80,2011
13,Switchfoot,Needle And Haystack Life (Live) [Bonus Track],5:26,,Vice Verses,Switchfoot,20,2011
14,Switchfoot,Mess Of Me (Live) [Bonus Track],4:52,,Vice Verses,Switchfoot,13,2011
15,Switchfoot,Your Love Is A Song (Live) [Bonus Track],5:35,,Vice Verses,Switchfoot,12,2011
16,Switchfoot,The Sound (John M. Perkins' Blues) [Live] [Bonus Track],4:06,,Vice Verses,Switchfoot,20,2011
17,Switchfoot,Enough To Let Me Go (Live) [Bonus Track],3:53,,Vice Verses,Switchfoot,16,2011
18,Switchfoot,Free (Live) [Bonus Track],6:31,,Vice Verses,Switchfoot,20,2011
19,Switchfoot,Hello Hurricane (Live) [Bonus Track],6:27,,Vice Verses,Switchfoot,13,2011
20,Switchfoot,Always (Live) [Bonus Track],4:28,,Vice Verses,Switchfoot,18,2011
21,Switchfoot,Bullet Soul (Live) [Bonus Track],4:31,,Vice Verses,Switchfoot,22,2011
22,Switchfoot,Yet (Live) [Bonus Track],4:46,,Vice Verses,Switchfoot,14,2011
23,Switchfoot,Sing It Out (Live) [Bonus Track],4:32,,Vice Verses,Switchfoot,14,2011
24,Switchfoot,Red Eyes (Live) [Bonus Track],6:49,,Vice Verses,Switchfoot,21,2011
1 of 15,Switchfoot,Holy Water ,3:47,,Where The Light Shines Through,Switchfoot,31,2016
2 of 15,Switchfoot,Float,4:13,,Where The Light Shines Through,Switchfoot,56,2016
3 of 15,Switchfoot,Where The Light Shines Through ,4:25,,Where The Light Shines Through,Switchfoot,115,2016
4 of 15,Switchfoot,I Won't Let You Go,4:47,,Where The Light Shines Through,Switchfoot,60,2016
5 of 15,Switchfoot,If The House Burns Down Tonight,4:32,,Where The Light Shines Through,Switchfoot,68,2016
6 of 15,Switchfoot,The Day That I Found God,4:18,,Where The Light Shines Through,Switchfoot,42,2016
